Brand,Result,Interest,Limit,Service,Convenience,Trust,Speed,Major,Ads
Promise,0,1,1,1,1,1,1,4,4
Promise,0,1,1,1,1,1,1,1,4
Promise,0,1,1,1,1,1,1,1,1
Promise,0,4,4,3,4,2,3,5,5
Promise,0,4,4,4,4,4,4,4,4
Promise,0,2,2,2,3,2,2,5,5
Promise,0,4,4,4,4,4,4,4,4
Promise,1,4,4,4,4,4,4,4,4
Promise,0,4,4,4,6,4,5,5,5
Promise,0,4,5,4,5,5,2,7,4
Promise,0,7,4,4,4,4,4,5,7
Promise,0,4,4,4,4,4,4,4,4
Promise,0,3,4,4,3,4,4,4,5
Promise,1,3,4,5,3,2,2,4,3
Promise,0,5,6,6,7,5,4,7,7
Promise,0,2,3,4,2,3,5,6,6
Promise,0,1,1,1,1,1,1,1,1
Promise,1,4,4,4,6,5,6,6,7
Promise,0,3,4,5,7,4,4,4,4
Promise,0,1,1,1,1,1,1,1,1
Promise,0,4,3,3,3,4,4,4,3
Promise,0,1,1,1,1,1,1,4,1
Promise,1,5,5,5,5,5,4,6,6
Promise,0,4,4,4,4,4,4,4,4
Promise,0,4,4,4,4,4,4,7,5
Promise,0,7,7,4,4,4,4,4,4
Promise,0,2,2,2,2,1,2,2,2
Promise,0,3,3,4,3,4,4,6,7
Promise,1,4,4,4,5,5,4,6,6
Promise,0,3,4,4,5,3,4,4,2
Promise,0,4,4,4,5,4,4,6,5
Promise,1,4,4,4,4,4,4,4,7
Promise,0,4,2,4,2,5,4,7,7
Promise,1,6,6,6,7,7,7,7,6
Promise,0,1,1,1,1,1,1,1,7
Promise,1,4,4,4,4,5,5,7,7
Promise,0,7,4,4,4,1,4,4,4
Promise,0,3,3,3,3,3,3,3,3
Promise,0,1,7,3,4,2,3,7,7
Promise,0,5,5,5,6,6,7,7,6
Promise,1,4,4,5,6,5,5,7,7
Promise,0,1,1,1,1,2,1,4,4
Promise,1,4,4,4,4,4,4,7,5
Promise,0,4,4,4,4,4,4,4,5
Promise,0,1,1,1,1,1,1,4,4
Promise,0,4,4,4,4,4,4,4,4
Promise,0,1,1,1,1,1,1,1,1
Promise,0,1,1,1,1,1,1,1,3
Promise,0,1,1,1,5,4,4,4,7
Promise,0,4,4,2,4,3,3,4,4
Promise,0,1,2,2,3,1,1,7,7
Promise,0,1,4,4,4,4,4,7,7
Promise,0,2,2,2,4,2,3,3,3
Promise,1,4,4,5,5,5,5,5,4
Promise,0,4,4,4,4,4,4,4,4
Promise,1,3,4,4,6,4,5,6,6
Promise,0,2,2,2,2,2,2,2,2
Promise,0,7,4,4,4,4,4,7,7
Promise,0,2,2,2,5,2,4,5,5
Promise,1,4,4,4,4,4,4,7,7
Promise,0,4,5,3,4,5,4,5,5
Promise,1,4,4,4,5,5,4,5,5
Promise,0,4,4,4,4,5,4,7,6
Promise,1,3,3,3,3,3,3,3,3
Promise,0,3,3,3,3,3,3,3,3
Promise,0,3,4,5,4,5,5,6,3
Promise,0,1,4,5,4,1,4,2,7
Promise,0,4,4,4,4,4,4,4,4
Promise,1,2,2,2,4,4,3,3,3
Promise,0,4,4,4,4,4,4,4,5
Promise,0,2,4,2,3,3,3,3,5
Promise,1,4,4,4,4,4,4,4,4
Promise,1,5,4,4,4,6,5,7,7
Promise,0,3,3,3,3,3,3,7,7
Promise,0,2,3,5,4,2,3,3,3
Promise,0,4,4,4,4,3,3,5,4
Promise,0,3,3,3,4,3,4,5,6
Promise,0,1,1,1,1,1,1,1,2
Promise,0,4,4,1,1,1,1,5,2
Promise,0,4,4,4,4,4,4,5,6
Promise,0,2,2,2,3,4,2,5,3
Promise,0,1,2,3,1,1,1,4,4
Promise,0,1,1,6,4,1,3,5,4
Promise,1,4,4,4,5,5,4,6,6
Promise,0,4,4,4,4,1,4,4,4
Promise,0,1,1,2,1,2,1,2,1
Promise,1,4,4,4,4,4,4,4,6
Promise,0,1,1,1,4,4,1,4,5
Promise,0,7,4,5,4,3,4,5,6
Promise,0,1,1,1,1,1,1,1,1
Promise,1,3,4,4,4,3,5,5,6
Promise,0,1,1,1,1,1,1,1,7
Promise,1,4,4,4,4,4,4,4,4
Promise,1,6,5,6,7,7,6,7,7
Promise,0,1,1,1,1,1,1,2,1
Promise,0,1,1,1,3,1,5,2,1
Promise,1,4,4,5,5,5,4,7,6
Promise,0,4,4,4,4,4,4,4,6
Promise,0,1,4,1,4,1,4,7,1
Promise,0,1,4,1,5,2,5,7,5
Promise,0,1,4,4,5,4,5,6,6
Promise,0,4,4,3,5,4,4,5,6
Promise,1,4,4,4,5,6,4,7,7
Promise,0,4,4,4,4,4,4,4,7
Promise,0,3,2,3,3,3,2,5,5
Promise,0,1,1,1,1,1,1,7,7
Promise,0,4,4,4,4,4,4,4,4
Promise,0,4,4,4,4,4,4,4,4
